pair,aspect,in_window_bars,rate_in,lift,binomial_p,random_p,holdout_in_bars,holdout_lift,bh_significant
moon-saturn,120.0,31,0.6129032258064516,0.9690827982775071,0.6645616868766974,0.6567164179104478,9,0.8947732779508482,False
moon-saturn,60.0,31,0.6129032258064516,0.9690827982775071,0.6645616868766974,0.6567164179104478,7,0.9203382287494437,False
mars-uranus,45.0,36,0.6111111111111112,0.9662492228439472,0.673682402545306,0.6865671641791045,0,,False
moon-venus,30.0,41,0.6097560975609756,0.9641067633697921,0.6822603987218933,0.6567164179104478,9,0.8947732779508482,False
mercury-mars,0.0,69,0.6086956521739131,0.9624300559552359,0.7059839357125035,0.6716417910447762,35,1.1504227859368048,False
moon-jupiter,0.0,33,0.6060606060606061,0.9582636920766419,0.6936620182848827,0.6915422885572139,9,1.0737279335410177,False
saturn-pluto,30.0,142,0.6056338028169014,0.9575888584906723,0.7743326966461577,0.746268656716418,0,,False
moon-mars,120.0,38,0.6052631578947368,0.9570028187975935,0.7005915306147632,0.7412935323383084,8,0.8052959501557633,False
moon-uranus,180.0,35,0.6,0.9486810551558753,0.7201075946731116,0.6666666666666666,8,1.006619937694704,False
mars-neptune,150.0,30,0.6,0.9486810551558753,0.715207797718907,0.6567164179104478,11,1.0249221183800623,False
sun-moon,180.0,30,0.6,0.9486810551558753,0.715207797718907,0.7412935323383084,7,1.1504227859368048,False
mars-uranus,0.0,30,0.6,0.9486810551558753,0.715207797718907,0.7263681592039801,0,,False
moon-mercury,45.0,30,0.6,0.9486810551558753,0.715207797718907,0.7164179104477612,8,0.6039719626168224,False
sun-saturn,150.0,30,0.6,0.9486810551558753,0.715207797718907,0.6965174129353234,6,0.0,False
mercury-pluto,45.0,37,0.5945945945945946,0.9401343789833,0.7441510561572995,0.7213930348258707,24,0.8052959501557633,False
moon-pluto,45.0,32,0.59375,0.938798960831335,0.7409444676409396,0.7860696517412935,9,0.8947732779508482,False
mercury-uranus,135.0,32,0.59375,0.938798960831335,0.7409444676409396,0.8258706467661692,3,1.6105919003115265,False
moon-jupiter,180.0,32,0.59375,0.938798960831335,0.7409444676409396,0.736318407960199,10,0.9663551401869159,False
uranus-neptune,45.0,98,0.5918367346938775,0.9357738299156594,0.8263683405772683,0.8258706467661692,0,,False
sun-jupiter,45.0,39,0.5897435897435898,0.9324642849822707,0.7660216596984681,0.7562189054726368,8,0.0,False
sun-jupiter,0.0,39,0.5897435897435898,0.9324642849822707,0.7660216596984681,0.6915422885572139,8,1.006619937694704,False
sun-neptune,45.0,39,0.5897435897435898,0.9324642849822707,0.7660216596984681,0.7412935323383084,13,1.1150251617541338,False
moon-uranus,30.0,34,0.5882352941176471,0.9300794658390935,0.7641502949267321,0.7960199004975125,8,0.8052959501557633,False
moon-saturn,135.0,34,0.5882352941176471,0.9300794658390935,0.7641502949267321,0.7562189054726368,9,0.7158186223606784,False
sun-moon,0.0,34,0.5882352941176471,0.9300794658390935,0.7641502949267321,0.746268656716418,9,0.7158186223606784,False
