pair,aspect,in_window_bars,rate_in,lift,binomial_p,random_p,holdout_in_bars,holdout_lift,bh_significant
moon-uranus,60.0,137,0.5109489051094891,0.996283179045672,0.5520116080901799,0.5323383084577115,33,1.2574096630125862,False
sun-venus,0.0,421,0.5106888361045131,0.9957760786830767,0.554904246492586,0.5920398009950248,115,0.9676587406662077,False
moon-uranus,90.0,143,0.5104895104895105,0.995387419943633,0.5560141520191448,0.5223880597014925,36,0.9430572472594396,False
venus-pluto,135.0,120,0.5083333333333333,0.991183158010081,0.5757548176139016,0.527363184079602,40,1.0845158343483556,False
sun-uranus,120.0,120,0.5083333333333333,0.991183158010081,0.5757548176139016,0.582089552238806,24,1.4145858708891594,False
sun-moon,60.0,130,0.5076923076923077,0.989933242300106,0.5816430070481226,0.6517412935323383,32,1.1198804811205847,False
moon-venus,120.0,138,0.5072463768115942,0.9890637357192541,0.5861077759685612,0.5870646766169154,37,1.1214734832274418,False
moon-uranus,45.0,138,0.5072463768115942,0.9890637357192541,0.5861077759685612,0.5671641791044776,32,0.5304697015834348,False
mercury-neptune,0.0,156,0.5064102564102564,0.9874334108801563,0.595478853585365,0.6368159203980099,102,1.1649530701440138,False
venus-mars,60.0,285,0.5052631578947369,0.985196719609675,0.6240165738573613,0.582089552238806,54,0.9081292010646456,False
venus-neptune,135.0,214,0.5046728971962616,0.9840457888624673,0.6210627777663972,0.5870646766169154,19,1.1912302070645553,False
mars-neptune,135.0,129,0.5038759689922481,0.9824918836546743,0.6150961703356627,0.582089552238806,49,1.1547639762360487,False
moon-venus,180.0,131,0.5038167938931297,0.9823764999924717,0.6159562575650898,0.6268656716417911,35,1.0777797111536453,False
mercury-pluto,45.0,145,0.503448275862069,0.981657938289238,0.6217869085845281,0.6218905472636815,89,1.1019994799436148,False
venus-mars,0.0,364,0.5027472527472527,0.9802910353945856,0.6694996391242647,0.736318407960199,49,0.9623033135300405,False
neptune-pluto,60.0,2818,0.5021291696238467,0.9790858545772013,0.8765568227149075,0.8308457711442786,1170,0.9527296292826134,False
mercury-mars,0.0,277,0.5018050541516246,0.9784538720251023,0.6658054988372637,0.6766169154228856,136,1.012399691910869,False
venus-uranus,0.0,126,0.5,0.9749342537804075,0.6473770141724634,0.681592039800995,43,0.8333994278106677,False
mercury-neptune,135.0,110,0.5,0.9749342537804075,0.6426630401337868,0.6069651741293532,56,0.8083347833652339,False
mercury-uranus,150.0,130,0.5,0.9749342537804075,0.6485493336232022,0.6169154228855721,16,1.5324680267965896,False
mercury-jupiter,90.0,70,0.5,0.9749342537804075,0.6312986569606324,0.7014925373134329,16,1.0609394031668695,False
jupiter-neptune,30.0,116,0.5,0.9749342537804075,0.6444334304466979,0.6169154228855721,0,,False
moon-neptune,0.0,126,0.5,0.9749342537804075,0.6473770141724634,0.736318407960199,33,0.8573247702358542,False
mars-uranus,0.0,122,0.5,0.9749342537804075,0.6462013775577728,0.6965174129353234,0,,False
mars-neptune,150.0,120,0.5,0.9749342537804075,0.6456125511144879,0.736318407960199,43,1.0965781944877206,False
sun-mars,150.0,38,0.5,0.9749342537804075,0.6260548039977716,0.6517412935323383,0,,False
